genes,aliases
TUBGCP6,"['tubulin, gamma complex associated protein 6', 'GCP-6', 'KIAA1669', 'DJ402G11.6', 'MCCRP1']"
TUFM,"['Tu translation elongation factor, mitochondrial', 'EF-TuMT', 'COXPD4', 'epididymis secretory sperm binding protein']"
TUFT1,['tuftelin 1']
TUG1,"['taurine up-regulated 1 (non-protein coding)', 'FLJ20618', 'NCRNA00080', 'TI-227H', 'TUG1', 'NONHSAG033691.2']"
TULP1,"['Tubby-related protein 1', 'TUB like protein 1', 'LCA15', 'RP14']"
TULP2,"['Tubby-related protein 2', 'TUB like protein 2', 'CT65', 'Cancer/testis antigen 65']"
TULP3,"['Tubby-related protein 3', 'TUB like protein 3']"
TULP4,"['tubby super-family protein', 'TUBL4', 'KIAA1397', 'TUB like protein 4']"
TUSC1,"['Tumor suppressor candidate gene 1 protein', 'TSG-9', 'CCDC89B']"
TUSC2,"['tumor suppressor 2, mitochondrial calcium regulator', 'Fus-1 protein', 'PDAP2', 'C3orf11', 'Tumor suppressor candidate 2', 'PDGFA associated protein 2', 'LGCC']"
TUSC3,"['putative prostate cancer tumor suppressor', 'MGC13453', 'Protein N33', 'OST3A', 'MRT22', 'SLC58A2', 'Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TUSC3', 'mental retardation, non-syndromic, autosomal recessive, 22', 'D8S1992']"
TUT1,"['terminal uridylyl transferase 1, U6 snRNA-specific', 'FLJ21850', 'Star-PAP', 'U6 TUTase', 'TENT1', 'PAP-associated domain-containing 2', 'RBM21', 'URLC6', 'nuclear speckle targeted phosphatidylinositol 4-phosphate 5-kinase type I-alpha regulated-poly(A) polymerase', 'poly(A) polymerase associated domain containing 2', 'nuclear speckle-targeted PIPK1A-regulated-poly(A) polymerase', 'Speckle targeted PIP5K1A-regulated poly(A) polymerase', 'EC 2.7.7.19']"
TUT4,"['terminal uridylyl transferase 4', 'KIAA0191', 'PAPD3', 'TUTase 4', 'Zinc finger CCHC domain-containing protein 11', 'ZCCHC11', 'EC 2.7.7.52']"
TUT7,"['terminal uridylyl transferase 7', 'KIAA1711', 'FLJ13409', 'PAPD6', 'TENT3B', 'TUTase 7', 'Zinc finger CCHC domain-containing protein 6', 'ZCCHC6', 'HS2', 'EC 2.7.7.52']"
TVP23A,"['trans-golgi network vesicle protein 23 homolog A (S. cerevisiae)', 'YDR084C', 'family with sequence similarity 18, member A', 'protein FAM18A']"
TVP23B,"['trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)', 'CGI-148', 'YDR084C', 'family with sequence similarity 18, member B1', 'protein FAM18B1']"
TVP23C,"['trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)', 'MGC8763', 'family with sequence similarity 18, member B2', 'protein FAM18B2']"
TVP23C-CDRT4,"['FAM18B2-CDRT4 readthrough', 'TVP23B', 'Golgi apparatus membrane protein TVP23 homolog B']"
TWF1,"['twinfilin, actin-binding protein, homolog 1 (Drosophila)', 'A6', 'twinfilin actin binding protein 1', 'PTK9 protein tyrosine kinase 9', 'PTK9', 'twinfilin, actin-binding protein, homolog 1']"
TWF2,"['PTK9L protein tyrosine kinase 9-like (A6-related protein)', 'hA6RP', 'twinfilin, actin-binding protein, homolog 2 (Drosophila)', 'MSTP011', 'PTK9L', 'twinfilin, actin-binding protein, homolog 2']"
TWIST1,"['twist basic helix-loop-helix transcription factor 1', 'SWCOS', 'twist homolog 1', 'BPES2', 'BHLHA38', 'Saethre-Chotzen syndrome', 'blepharophimosis, epicanthus inversus and ptosis 3', 'acrocephalosyndactyly 3', 'BPES3', 'Class A basic helix-loop-helix protein 38', 'twist homolog 1 (Drosophila)']"
TWIST2,"['twist basic helix-loop-helix transcription factor 2', 'Dermo-1', 'Dermis-expressed protein 1', 'BHLHA39', 'BBRSAY', 'FFDD3', 'SETLSS', 'Class A basic helix-loop-helix protein 39', 'twist-related bHLH protein Dermo1']"
TWNK,"['T7-like mitochondrial DNA helicase', 'PEOA3', 'Twinkle mtDNA helicase', 'FLJ21832', 'ataxin 8', 'T7 helicase-related protein with intramitochondrial nucleoid localization', 'infantile onset spinocerebellar ataxia (autosomal recessive)', 'chromosome 10 open reading frame 2', 'C10orf2', 'IOSCA', 'MTDPS7', 'PRLTS5', 'SANDO', 'ATXN8', 'Progressive external ophthalmoplegia 1 protein', 'EC 3.6.4.12']"
TWSG1,"['twisted gastrulation BMP signaling modulator 1', 'TSG']"
TXK,"['PTK4 protein tyrosine kinase 4', 'PSCTK5', 'BTKL', 'RLK', 'EC 2.7.10.2']"
TXLNA,"['Alpha-taxilin', 'DKFZp451J0118', 'interleukin 14']"
TXLNB,"['Beta-taxilin', 'DKFZp451A175', 'hMDP77', 'dJ522B19.2', 'chromosome 6 open reading frame 198', 'C6orf198', 'LST001', 'Muscle-derived protein 77']"
TXLNG,"['Gamma-taxilin', 'FLJ11209', 'ELRG', 'MGC126621', 'Environmental lipopolysaccharide-responding gene protein', 'factor inhibiting activating transcription factor 4 (ATF4)-mediated transcription', 'chromosome X open reading frame 15', 'CXorf15']"
TXN,"['thioredoxin delta 3', 'Thioredoxin', 'Trx80', 'ATL-derived factor', 'SASP', 'Surface-associated sulphydryl protein']"
TXN2,"['Thioredoxin, mitochondrial', 'MT-TRX', 'COXPD29', 'Thioredoxin-2']"
TXNDC11,"['Thioredoxin domain-containing protein 11', 'EFP1']"
TXNDC12,"['thioredoxin domain containing 12 (endoplasmic reticulum)', 'hTLP19', 'ER protein 18', 'hAG-1', 'ERP16', 'PDIA16', 'endoplasmic reticulum thioredoxin superfamily member, 18 kDa', 'Endoplasmic reticulum resident protein 18', 'anterior gradient homolog 1 (Xenopus laevis)', 'EC 1.8.4.2']"
TXNDC15,"['Thioredoxin domain-containing protein 15', '2310047H23Rik', 'FLJ22625', 'C5orf14', 'UNQ335', 'disulfide isomerase']"
TXNDC16,"['Thioredoxin domain-containing protein 16', 'KIAA1344', 'ERP90']"
TXNDC17,"['thioredoxin (Trx)-related protein, 14 kDa', 'MGC14353', 'TRP14', 'thioredoxin-like 5', 'Protein 42-9-9']"
TXNDC2,"['thioredoxin domain containing 2 (spermatozoa)', 'Sptrx-1', 'Spermatid-specific thioredoxin-1', 'Thioredoxin domain-containing protein 2']"
TXNDC5,"['thioredoxin domain containing 5 (endoplasmic reticulum)', 'MGC3178', 'FLJ21353', 'ENDOPDI', 'HCC-2', 'ER protein 46', 'protein disulfide isomerase family A, member 15', 'STRF8', 'UNQ364', 'Endoplasmic reticulum resident protein 46', 'epididymis secretory sperm binding protein', 'ERP46']"
TXNDC8,"['thioredoxin domain containing 8 (spermatozoa)', 'bA427L11.2', 'Thioredoxin-6', 'SPTRX-3', 'spermatocyte/spermatid-specific thioredoxin-3']"
TXNDC9,"['Thioredoxin domain-containing protein 9', 'APACD', 'PHLP3', 'ATP binding protein associated with cell differentiation', 'Protein 1-4']"
TXNIP,"['Vitamin D3 up-regulated protein 1', 'VDUP1', 'EST01027', 'HHCPA78', 'THIF', 'ARRDC6', 'upregulated by 1,25-dihydroxyvitamin D-3']"
TXNL1,"['epididymis secretory protein Li 114', 'TXL-1', 'TRP32', '32 kDa thioredoxin-related protein', 'HEL-S-114', 'thioredoxin like 1']"
TXNL4A,"['Thioredoxin-like U5 snRNP protein U5-15kD', 'U5-15kD', 'DIB1', 'HsT161', 'SNRNP15', 'similar to S. pombe dim1+', 'BMKS', 'thioredoxin like 4A', 'Spliceosomal U5 snRNP-specific 15 kDa protein', 'Thioredoxin-like protein 4A']"
TXNL4B,"['Thioredoxin-like protein 4B', 'FLJ20511', 'DIM2']"
TXNRD1,"['KM-102-derived reductase-like factor', 'TRXR1', 'GRIM-12', 'thioredoxin reductase 1', 'GRIM12', 'Gene associated with retinoic and interferon-induced mortality 12 protein', 'testis tissue sperm-binding protein Li 46a', 'KDRF', 'EC 1.8.1.9']"
TXNRD2,"['Thioredoxin reductase 2, mitochondrial', 'TR-BETA', 'TRXR2', 'Selenoprotein Z', 'GCCD5', 'thioredoxin reductase beta', 'KIAA1652', 'EC 1.8.1.9']"
TXNRD3,"['thioredoxin reductase 2 intronic transcript 1', 'TR2IT1', 'TXNRD3IT1', 'TXNRD3 neighbor gene protein', 'thioredoxin reductase 3 neighbor gene protein', 'EC 1.8.1.9']"
TYK2,"['Non-receptor tyrosine-protein kinase TYK2', 'JTK1', 'IMD35', 'EC 2.7.10.2']"
TYMP,"['Thymidine phosphorylase', 'Gliostatin', 'endothelial cell growth factor 1 (platelet-derived)', 'hPD-ECGF', 'TdRPase', 'MNGIE', 'EC 2.4.2.4']"
TYMS,"['thymidylate synthetase', 'TSase', 'HST422', 'EC 2.1.1.45']"
TYR,"['OCA1A', 'Tumor rejection antigen AB', 'CMM8', 'SHEP3', 'LB24-AB', 'Monophenol monooxygenase', 'EC 1.14.18.1']"
TYRO3,"['Tyrosine-protein kinase receptor TYRO3', 'Etk-2', 'TIF', 'EC 2.7.10', 'BYK', 'EC 2.7.10.1']"
TYROBP,"['transmembrane immune signaling adaptor TYROBP', 'DAP12', 'PLO-SL', 'KARAP', 'Killer-activating receptor-associated protein', 'polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy']"
TYRP1,"['Tyrosinase-related protein 1', 'Glycoprotein 75', 'Catalase B', 'TRP-1', 'CAS2', '5,6-dihydroxyindole-2-carboxylic acid oxidase', 'DHICA oxidase', 'Melanoma antigen gp75', 'EC 1.14.18.-']"
TYSND1,"['Peroxisomal leader peptide-processing protease', 'MGC34695', 'EC 3.4.21.-', 'peroxisomal matrix protein-processing protease']"
TYW1,"['Radical S-adenosyl methionine and flavodoxin domain-containing protein 1', 'FLJ10900', 'MGC23001', 'YPL207W', 'TYW1A', 'tRNA-yW synthesizing protein 1 homolog A (S. cerevisiae)', 'RSAFD1', 'EC 4.1.3.44']"
TYW1B,"['tRNA-yW synthesizing protein 1 homolog B (non-protein coding)', 'RSAFD2', 'MGC87315', 'NCRNA00069', 'Radical S-adenosyl methionine and flavodoxin domain-containing protein 2', 'EC 4.1.3.44']"
TYW3,"['tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)', 'FLJ40918', 'chromosome 1 open reading frame 171', 'tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase', 'C1orf171', 'EC 2.1.1.282']"
TYW5,"['jmjC domain-containing protein C2orf60', 'FLJ37953', 'C2orf60', 'hTYW5', 'tRNA wybutosine-synthesizing protein 5', 'tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase', 'EC 1.14.11.42']"
U2AF1,"['U2 small nuclear ribonucleoprotein auxillary factor, 35-KD subunit', 'RNU2AF1', 'FP793']"
U2AF1L4,"['U2(RNU2) small nuclear RNA auxiliary factor 1-like protein 3', 'MGC33901', 'U2 auxiliary factor 26', 'U2AF1-like protein 3', 'Splicing factor U2AF 26 kDa subunit', 'U2 small nuclear RNA auxiliary factor 1 like 4']"
U2AF2,"['U2 small nuclear ribonucleoprotein auxiliary factor (65kD)', 'hU2AF(65)']"
U2SURP,"['U2 snRNP-associated SURP motif-containing protein', 'fSAPa', 'SR140', 'KIAA0332']"
UACA,"['Uveal autoantigen with coiled-coil domains and ankyrin repeats', 'FLJ10128', 'KIAA1561', 'NUCLING', 'nuclear membrane binding protein']"
UAP1,"['UDP-N-acetylglucosamine pyrophosphorylase 1', 'Antigen X', 'SPAG2', 'Sperm-associated antigen 2', 'testis tissue sperm-binding protein Li 37a', 'EC 2.7.7.23']"
UAP1L1,"['UDP-N-acetylhexosamine pyrophosphorylase-like protein 1', 'EC 2.7.7.23']"
UBA1,"['ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)', 'UBA1A', 'POC20', 'CFAP124', 'UBA1, ubiquitin-activating enzyme E1 homolog (yeast)', 'Protein A1S9', 'A1S9T', 'AMCX1', 'SMAX2', 'VEXAS', 'POC20 centriolar protein homolog (Chlamydomonas)', 'EC 6.2.1.45']"
UBA2,"['UBA2, ubiquitin-activating enzyme E1 homolog (yeast)', 'FLJ13058', 'HRIHFB2115', 'SAE2', 'Anthracycline-associated resistance ARX', 'UBLE1B', 'EC 2.3.2.-']"
UBA3,"['ubiquitin-activating enzyme E1C (homologous to yeast UBA3)', 'hUBA3', 'NAE2', 'UBE1C', 'EC 6.2.1.64']"
UBA5,"['Ubiquitin-activating enzyme E1 domain-containing protein 1', 'FLJ23251', 'EIEE44', 'SCAR24', 'THIFP1', 'UBE1DC1']"
UBA52,"['Ubiquitin A-52 residue ribosomal protein fusion product 1', 'RPL40', 'ubiquitin-CEP52', 'MGC126879', 'ubiquitin carboxyl extension protein 52']"
UBA6,"['Ubiquitin-activating enzyme E1-like protein 2', 'FLJ10808', 'UBE1L2', 'Monocyte protein 4', 'MOP-4', 'EC 6.2.1.45']"
UBA7,"['UBA1, ubiquitin-activating enzyme E1 homolog B (yeast)', 'D8', 'UBA1B']"
UBAC1,"['Glialblastoma cell differentiation-related protein 1', 'UBADC1', 'KPC2', 'Ubiquitin-associated domain-containing protein 1', 'UBA domain containing 1', 'putative glialblastoma cell differentiation-related protein']"
UBAC2,"['Ubiquitin-associated domain-containing protein 2', 'FLJ30548', 'RP11-178C10.1', 'Phosphoglycerate dehydrogenase-like protein 1', 'PHGDHL1']"
UBALD1,"['UBA-like domain-containing protein 1', 'family with sequence similarity 100, member A', 'protein FAM100A', 'PP11303']"
UBALD2,"['UBA-like domain-containing protein 2', 'MGC29814', 'family with sequence similarity 100, member B', 'protein FAM100B']"
UBAP1,"['Nasopharyngeal carcinoma-associated gene 20 protein', 'NAG20', 'SPG80', 'UBAP-1']"
UBAP1L,"['Ubiquitin-associated protein 1-like', 'UBAP-1L']"
UBAP2,"['Ubiquitin-associated protein 2', 'KIAA1491', 'bA176F3.5', 'FLJ22435', 'UBAP-2']"
UBAP2L,"['Ubiquitin-associated protein 2-like', 'Protein NICE-4', 'KIAA0144']"
UBASH3A,"['Ubiquitin-associated and SH3 domain-containing protein A', 'STS-2', 'TULA-1', 'CLIP4', 'ubiquitin associated and SH3 domain containing A', 'Suppressor of T-cell receptor signaling 2']"
UBASH3B,"['Ubiquitin-associated and SH3 domain-containing protein B', 'KIAA1959', 'STS-1', 'TULA-2', 'SH3 domain-containing 70 kDa protein, suppressor of T-cell receptor signaling 1, nm23-phosphorylated unknown substrate', 'ubiquitin associated and SH3 domain containing B', 'p70', 'Tyrosine-protein phosphatase STS1/TULA2', 'EC 3.1.3.48']"
UBB,"['Polyubiquitin-B', 'MGC8385', 'FLJ25987', 'HEL-S-50', 'epididymis secretory protein Li 50']"
UBC,"['Polyubiquitin-C', 'HMG20']"
UBD,"['Ubiquitin-like protein FAT10', 'FAT10', 'GABBR1', 'UBD-3']"
UBE2A,"['ubiquitin-conjugating enzyme E2A (RAD6 homolog)', 'UBC2', 'HHR6A', 'RAD6 homolog A', 'MRXS30', 'EC 2.3.2.23']"
UBE2B,"['ubiquitin-conjugating enzyme E2B (RAD6 homolog)', 'UBC2', 'HHR6B', 'RAD6 homolog B', 'EC 6.3.2.19', 'Ubiquitin carrier protein B', 'EC 2.3.2.23']"
UBE2C,"['(E3-independent) E2 ubiquitin-conjugating enzyme C', 'UBCH10', 'dJ447F3.2', 'EC 2.3.2.23']"
UBE2D1,"['ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)', 'UBC4/5', 'UBC4/5 homolog', 'E2(17)KB1', 'Stimulator of Fe transport', 'SFT', 'EC 2.3.2.23']"
UBE2D2,"['ubiquitin-conjugating enzyme E2D 2 (homologous to yeast UBC4/5)', 'UBC4/5', 'EC 2.3.2.23']"
UBE2D3,"['ubiquitin-conjugating enzyme E2D 3 (homologous to yeast UBC4/5)', 'UBC4/5', 'EC 2.3.2.23']"
UBE2D4,"['ubiquitin conjugating enzyme E2 D4 (putative)', 'HBUCE1', 'UBCH5D', 'EC 2.3.2.23']"
UBE2E1,"['ubiquitin-conjugating enzyme E2E 1 (homologous to yeast UBC4/5)', 'UBCH6', 'EC 2.3.2.23']"
UBE2E2,"['ubiquitin-conjugating enzyme E2E 2 (homologous to yeast UBC4/5)', 'UBCH8', 'FLJ25157', 'EC 2.3.2.23']"
UBE2E3,"['ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC4/5)', 'UBCE4', 'EC 2.3.2.23']"
UBE2F,"['ubiquitin conjugating enzyme E2 F (putative)', 'NCE2', 'RING-type E3 NEDD8 transferase UBE2F', 'EC 2.3.2.32']"
UBE2G1,"['ubiquitin-conjugating enzyme E2G 1 (homologous to C. elegans UBC7)', 'UBE2G', 'E217K', 'EC 2.3.2.23']"
UBE2G2,"['ubiquitin-conjugating enzyme E2G 2 (homologous to yeast UBC7)', 'UBC7', ""EC 6.3.2.19');""]"
UBE2H,"['ubiquitin-conjugating enzyme E2H (homologous to yeast UBC8)', 'UBCH2', 'GID3', 'EC 2.3.2.23', 'ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)']"
UBE2I,"['ubiquitin-conjugating enzyme E2I (homologous to yeast UBC9)', 'UBCE9', 'C358B7.1', 'P18', 'ubiquitin-like protein SUMO-1 conjugating enzyme', 'SUMO-conjugating enzyme UBC9', 'EC 2.3.2.-']"
UBE2J1,"['ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)', 'HSPC153', 'CGI-76', 'HSUBC6e', 'HSU93243', 'EC 2.3.2.23']"
UBE2J2,"['ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)', 'Ubc6p', 'NCUBE-2', 'PRO2121', 'EC 2.3.2.23']"
UBE2K,"['ubiquitin-conjugating enzyme E2K (UBC1 homolog, yeast)', 'HIP-2', 'UBC1', 'Ubiquitin-conjugating enzyme E2-25 kDa', 'EC 2.3.2.23']"
UBE2L3,"['E2 ubiquitin-conjugating enzyme L3', 'L-UBC', 'EC 6.3.2.19', 'EC 2.3.2.23']"
UBE2L5,"['ubiquitin conjugating enzyme E2L 5 (pseudogene)', 'UBCH7N2', 'EC 2.3.2.23']"
UBE2L6,"['Ubiquitin/ISG15-conjugating enzyme E2 L6', 'UBCH8', 'RIG-B', 'Retinoic acid-induced gene B protein', 'EC 2.3.2.23']"
UBE2M,"['ubiquitin-conjugating enzyme E2M (homologous to yeast UBC12)', 'UBC-RS2', 'yeast UBC12 homolog', 'epididymis secretory sperm binding protein', 'NEDD8-conjugating enzyme Ubc12', 'ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)', 'EC 2.3.2.34']"
UBE2N,"['ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)', 'UBCHBEN; UBC13', 'yeast UBC13 homolog', 'MGC8489', 'epididymis secretory protein Li 71', 'ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)', 'BLU', 'EC 2.3.2.23']"
UBE2NL,"['ubiquitin conjugating enzyme E2 N like (gene/pseudogene)', 'Li174', 'Epididymis tissue protein Li 174']"
UBE2O,"['(E3-independent) E2 ubiquitin-conjugating enzyme', 'EC 2.3.2.24', 'KIAA1734']"
UBE2Q1,"['ubiquitin conjugating enzyme E2Q family member 1', 'PRO3094', 'Protein NICE-5', 'GTAP', 'UBE2Q', 'galactosyl transferase-associated protein', 'Ubiquitin-protein ligase Q1', 'EC 2.3.2.23']"
UBE2Q2,"['ubiquitin conjugating enzyme E2Q family member 2', 'DKFZp762C143', 'EC 2.3.2.23']"
UBE2QL1,"['Ubiquitin-conjugating enzyme E2Q-like protein 1', 'FLJ25076', 'EC 2.3.2.23']"
UBE2R2,"['Ubiquitin-conjugating enzyme E2-CDC34B', 'E2-CDC34B', 'FLJ20419', 'MGC10481', 'EC 2.3.2.23']"
UBE2S,"['Ubiquitin-conjugating enzyme E2-24 kDa', 'E2-EPF5', 'EC 2.3.2.23']"
UBE2T,"['HSPC150 protein similar to ubiquitin-conjugating enzyme', 'HSPC150', 'FANCT', 'Cell proliferation-inducing gene 50 protein', 'ubiquitin-conjugating enzyme E2T (putative)', 'EC 2.3.2.23']"
UBE2U,"['ubiquitin conjugating enzyme E2 U (putative)', 'MGC35130', 'testicular tissue protein Li 216', 'EC 2.3.2.23']"
UBE2V1,"['Ubiquitin-conjugating enzyme E2 variant 1', 'UBE2V', 'CROC-1', 'DNA-binding protein', 'TRAF6-regulated IKK activator 1 beta Uev1A']"
UBE2V2,"['Ubiquitin-conjugating enzyme E2 variant 2', 'UEV-2', 'DDVit 1', 'MMS2 homolog', 'EDAF-1', '1 alpha,25-dihydroxyvitamin D3-inducible', 'enterocyte differentiation-associated factor EDAF-1', 'methyl methanesulfonate sensitive 2, S. cerevisiae, homolog of']"
UBE2W,"['ubiquitin conjugating enzyme E2 W (putative)', 'FLJ11011', 'UBC-16', 'EC 2.3.2.23']"
UBE2Z,"['Uba6-specific E2 conjugating enzyme 1', 'FLJ13855', 'USE1', 'HOYS7', 'E2 ubiquitin-conjugating enzyme Z', 'EC 2.3.2.23']"
UBE3A,"['Oncogenic protein-associated protein E6-AP', 'ANCR', 'EPVE6AP', 'FLJ26981', 'Angelman syndrome', 'human papilloma virus E6-associated protein', 'Renal carcinoma antigen NY-REN-54', 'EC 2.3.2.26']"
UBE3B,"['HECT-type ubiquitin transferase E3B', 'BPIDS', 'EC 2.3.2.26']"
UBE3C,"['ubiquitin-protein isopeptide ligase (E3)', 'KIAA0010', 'HECTH2', 'EC 2.3.2.26']"
UBE3D,"['Ubiquitin-conjugating enzyme E2C-binding protein', 'DKFZp434A1520', 'H10BH', 'YJR141W', 'HECT-type E3 ubiquitin transferase E3D', 'C6orf157', 'UBE2CBP', 'EC 2.3.2.26']"
UBE4A,"['ubiquitination factor E4A (homologous to yeast UFD2)', 'UBOX2', 'KIAA0126', 'E4', 'NEDHMS', 'ubiquitination factor E4A (UFD2 homolog, yeast)', 'EC 2.3.2.27']"
UBE4B,"['ubiquitination factor E4B (homologous to yeast UFD2)', 'UBOX3', 'E4', 'UFD2A', 'KIAA0684', 'HDNB1', 'RING-type E3 ubiquitin transferase E4 B', 'Homozygously deleted in neuroblastoma 1', 'EC 2.3.2.27']"
UBFD1,"['Ubiquitin domain-containing protein UBFD1', 'FLJ42145', 'FLJ38870', 'UBPH']"
UBIAD1,"['UbiA prenyltransferase domain-containing protein 1', 'TERE1', 'Schnyder crystalline corneal dystrophy', 'SCCD', 'EC 2.5.1.-']"
UBL3,"['Membrane-anchored ubiquitin-fold protein', 'Protein HCG-1', 'DKFZP434K151', 'FLJ32018', 'HsMUB', 'Ubiquitin-like protein 3']"
UBL4A,"['Ubiquitin-like protein GDX', 'DX254E', 'DXS254E', 'GET5', 'TMA24', 'G6PD', 'UBL4']"
UBL4B,"['Ubiquitin-like protein 4B', 'FLJ25690']"
UBL5,"['testicular tissue protein Li 217', 'HUB1']"
UBL7,"['ubiquitin-like 7 (bone marrow stromal cell-derived)', 'BMSC-UbP', 'MGC14421', 'TCBA1']"
UBLCP1,"['Ubiquitin-like domain-containing CTD phosphatase 1', 'MGC10067', 'CPUB1', 'CTD-like phosphatase domain-containing protein', 'EC 3.1.3.16']"
UBN1,"['Ubinuclein-1', 'VT4', 'Protein VT4', 'Ubiquitously expressed nuclear protein', 'HIRA-binding protein']"
UBN2,"['Ubinuclein-2', 'FLJ25778', 'KIAA2030']"
UBOX5,"['Ubiquitin-conjugating enzyme 7-interacting protein 5', 'UBCE7IP5', 'KIAA0860', 'RNF37', 'RING-type E3 ubiquitin transferase RNF37', 'EC 2.3.2.27']"
UBP1,"['Transcription factor LBP-1', 'LBP-1B']"
UBQLN1,"['Ubiquilin-1', 'DSK2', 'XDRP1', 'Protein linking IAP with cytoskeleton 1', 'testicular tissue protein Li 219', 'hPLIC-1']"
UBQLN2,"['Ubiquitin-like product Chap1/Dsk2', 'CHAP1/DSK2', 'DSK2 homolog', 'HRIHFB2157', 'Ubiquilin-2', 'N4BP4', 'hPLIC-2', 'Protein linking IAP with cytoskeleton 2', 'ALS15']"
UBQLN3,"['Ubiquilin-3', 'TUP-1', 'testicular tissue protein Li 220']"
UBQLN4,"['Ubiquilin-4', 'A1Up', 'Ataxin-1 ubiquitin-like-interacting protein A1U', 'chromosome 1 open reading frame 6', 'C1orf6', 'CIP75']"
UBQLNL,"['Ubiquilin-like protein', 'MGC20470']"
UBR1,"['ubiquitin protein ligase E3 component n-recognin 1', 'E3 ubiquitin-protein ligase UBR1', 'N-recognin-1', 'RING-type E3 ubiquitin transferase UBR1', 'EC 2.3.2.27']"
UBR2,"['ubiquitin protein ligase E3 component n-recognin 2', 'bA49A4.1', 'dJ392M17.3', 'KIAA0349', 'chromosome 6 open reading frame 133', 'C6orf133', 'RING-type E3 ubiquitin transferase UBR2', 'N-recognin-2', 'EC 2.3.2.27']"
UBR3,"['ubiquitin protein ligase E3 component n-recognin 3 (putative)', 'KIAA2024', 'DKFZp434P117', 'FLJ37422', 'ubiquitin protein ligase E3 component n-recognin 3', 'Zinc finger protein 650', 'N-recognin-3', 'RING-type E3 ubiquitin transferase UBR3', 'EC 2.3.2.27']"
UBR4,"['ubiquitin protein ligase E3 component n-recognin 4', 'KIAA0462', 'RBAF600', 'Zinc finger UBR1-type protein 1', 'ZUBR1', 'N-recognin-4', 'RING-type E3 ubiquitin transferase UBR4', 'retinoblastoma-associated factor 600-like protein', 'EC 2.3.2.27']"
UBR5,"['E3 ubiquitin protein ligase, HECT domain containing, 1', 'EDD1', 'hHYD', 'KIAA0896', 'E3 identified by differential display', 'Hyperplastic discs protein homolog', 'ubiquitin protein ligase E3 component n-recognin 5', 'EC 2.3.2.26']"
UBR7,"['ubiquitin protein ligase E3 component n-recognin 7 (putative)', 'chromosome 14 open reading frame 130', 'C14orf130', 'LICAS', 'N-recognin-7', 'Putative E3 ubiquitin-protein ligase UBR7', 'EC 2.3.2.27']"
UBTD1,"['Ubiquitin domain-containing protein 1', 'FLJ11807']"
UBTD2,"['Dendritic cell-derived ubiquitin-like protein', 'DC-UbP', 'MGC30022']"
UBTF,"['upstream binding transcription factor, RNA polymerase I', 'UBF-1', 'Autoantigen NOR-90', 'CONDBA', '90-kDa nucleolus organizer region autoantigen', 'Nucleolar transcription factor 1']"
UBTFL1,"['upstream binding transcription factor, RNA polymerase I-like 1', 'chromosome 11 open reading frame 27', 'C11orf27', 'HMGPI']"
UBXN1,"['UBX domain-containing protein 1', 'LOC51035', '2B28', 'UBXD10', 'SAKS1']"
UBXN10,"['UBX domain-containing protein 10', 'FLJ25429', 'UBXD3']"
UBXN11,"['UBX domain-containing protein 11', 'COA-1', 'PP2243', 'UBXD5', 'Colorectal tumor-associated antigen COA-1']"
UBXN2A,"['UBX domain-containing protein 2A', 'UBXD4']"
UBXN2B,"['UBX domain-containing protein 2B', 'p37', 'NSFL1 cofactor p37']"
UBXN4,"['UBX domain-containing protein 2', 'KIAA0242', 'Erasin', 'UBXDC1', 'UBX domain-containing 1']"
UBXN6,"['UBX domain-containing protein 1', 'UBX domain-containing 2', 'UBXDC2', 'CTB-50L17.16']"
UBXN7,"['UBX domain-containing protein 7', 'KIAA0794', 'UBXD7']"
UBXN8,"['UBX domain-containing protein 6', 'D8S2298E', 'Rep-8 protein', 'UBXD6', 'Reproduction/chromosome 8']"
UCHL1,"['ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)', 'PGP 9.5', 'HEL-117', 'EC 3.4.19.12', 'HEL-S-53', 'NDGOA', 'PARK5', 'Ubiquitin carboxyl-terminal hydrolase isozyme L1', 'epididymis secretory protein Li 53']"
UCHL3,"['ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)', 'UCH-L3', 'testicular tissue protein Li 221', 'EC 3.4.19.12']"
