"","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"TULP4",9.61101428307068,9.33480771705749,9.74055180349011,9.67319338349659,9.85702328065206,9.96578417620342,9.61101428307068,9.33480771705749,9.74055180349011,9.67319338349659,9.85702328065206,9.96578417620342
"SLC12A9",9.21339172074405,9.25548792539675,9.2320428927726,9.31150252047332,9.23048693531848,9.11465251176292,9.21339172074405,9.25548792539675,9.2320428927726,9.31150252047332,9.23048693531848,9.11465251176292
"CTNNBIP1",10.399340859332,10.628623871938,10.238350030367,10.3119913412201,10.4120580988853,10.1902891398819,10.399340859332,10.628623871938,10.238350030367,10.3119913412201,10.4120580988853,10.1902891398819
"ADAMTS9",11.7787448768685,11.2086492009922,11.583385078997,11.8658690220897,11.6320710984108,11.8293988306488,11.7787448768685,11.2086492009922,11.583385078997,11.8658690220897,11.6320710984108,11.8293988306488
"BAAT",4.94936161609648,4.9080298181228,4.88040582093222,4.80813759869746,4.75764081649226,4.92223836698472,4.94936161609648,4.9080298181228,4.88040582093222,4.80813759869746,4.75764081649226,4.92223836698472
"SDHAF3",9.18905812640709,8.88552760539987,9.34116308210294,9.38007160510055,9.33173090956192,9.33475154950209,9.18905812640709,8.88552760539987,9.34116308210294,9.38007160510055,9.33173090956192,9.33475154950209
"YAE1",10.0105165422448,10.0968970118996,10.4291429057909,10.4600877656195,10.3706962424381,10.4875520165839,10.0105165422448,10.0968970118996,10.4291429057909,10.4600877656195,10.3706962424381,10.4875520165839
"CCDC47",9.95370343417704,9.81527542799767,9.84406061292525,10.1289210666809,10.2248563998786,10.1345422201294,9.95370343417704,9.81527542799767,9.84406061292525,10.1289210666809,10.2248563998786,10.1345422201294
"PSMC2",10.5639236323852,10.3541212686759,10.4072336264037,10.4312124873774,10.305655928061,10.2708975098634,10.5639236323852,10.3541212686759,10.4072336264037,10.4312124873774,10.305655928061,10.2708975098634
"CABP4",8.34088202387715,8.62072384555307,8.2020406567203,8.33319286942923,8.3149411968404,8.328217346085,8.34088202387715,8.62072384555307,8.2020406567203,8.33319286942923,8.3149411968404,8.328217346085
"COQ9",10.7917996976861,10.6691287107417,10.709636391434,10.8280112872276,10.724874657381,10.8287305593641,10.7917996976861,10.6691287107417,10.709636391434,10.8280112872276,10.724874657381,10.8287305593641
"CCNL1",9.92942425292213,9.85808212860327,10.1928441323438,9.93919526117861,10.0547400520461,9.98123763198627,9.92942425292213,9.85808212860327,10.1928441323438,9.93919526117861,10.0547400520461,9.98123763198627
