"","HUVEC_scr_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL"
"SAMD9L",7.83161781299636,7.87575059992523,7.92685370300186,8.32941707301401,8.27225325722354,8.28661491961663,8.05404352563719,8.18390091328787,8.17564111571004,8.48904903640435,8.43025549254643,8.33440497545467
"AMER2",4.17058947779918,4.49846889526929,4.41455743166821,4.49914873193533,4.17660852944683,4.28019348109892,4.45009466601032,4.33603534656984,4.43911420247026,4.81985088808919,4.44017661913451,4.41581119820628
"ATAD3C",3.94517251641852,4.04535475122169,4.28246587900226,3.71626067929293,3.67336205545993,3.79926883244235,3.89562459136444,4.03959942851939,3.8655112204614,3.64232267527893,3.62763687427047,3.92896831471414
"FARSA",10.1906275365079,10.1705291783842,10.3529562862578,10.0888228891746,10.0179372122628,10.14723131217,10.2765046269507,10.1718314023424,10.3189553727102,10.2234978838257,10.1275286559379,10.1446033329878
"USP12",8.28152871365706,8.33190926001752,8.27272634626625,7.70297551949837,7.48249375886581,7.47255129203106,8.02188574944143,8.06671077362883,8.20348114535613,7.79204535326564,7.91981854554956,7.85303468460224
"PLAC9",6.09581484301228,6.1822114229281,6.18436895712753,6.58058887535637,6.60816276818889,6.57547669294976,5.88535144452645,5.96750345430555,5.42112495375046,6.00448306438137,6.22356151696599,6.12858990299107
"FASN",8.78592679033512,8.54742810874446,8.63746069527816,8.47066780353684,8.65762903895708,8.59040465068211,8.62893505010809,8.5927872070285,8.81986680149975,8.59755762537187,8.62714332933223,8.51875867562362
"MTIF3",6.99813787015193,6.75851292855797,6.95674181898313,7.00014277403144,6.99968517349213,6.8524339063765,6.95542552410288,7.02745365887189,6.81436213685527,6.98687013308048,6.92885210162545,7.06803809945977
"GSX1",4.60084756778212,4.45761212127149,4.3655356688341,4.4542831508932,4.31977575918294,4.43453026413088,4.50243770497722,4.29535206136235,4.38524220583849,4.41436921832106,4.17905386654607,4.39522911697335
"OR4C16",2.33935544825959,2.4396720307593,2.77183222150033,2.4681847022517,2.0410552535272,2.67451660361735,2.55590731220167,2.4422888020958,2.56180635314636,2.23802247951425,2.29981412085969,2.62217220563558
"OR4C11",2.10154993867378,2.23327971358325,2.04888642146394,2.17842570230308,1.79555717838725,2.14997985041326,1.92281631857708,2.31860558634957,1.90961785274417,1.9030595325664,2.39818407078263,2.35723392989939
"OR4S2",3.12486543396816,2.70934458164688,2.94980616329893,3.21364174791263,2.66793329964591,3.43329944986251,3.44415745734204,2.91633674844351,2.79151152488005,2.63711468971813,3.20651265395341,2.59648341496096
"OR4C6",4.61034271407164,4.20526762126395,4.47109380598908,4.57455873807782,4.27459491174185,4.04271614134882,4.31117557797679,4.32567058935244,4.3853356058805,4.4847708271658,4.48940489612576,4.71453209909998
